-3.3755e-05,0.87313,-0.36296,-0.416,15.544,-7.0058,-27.047,26397,20132,20188
-2.1521e-05,0.87143,-0.35076,-0.4065,16.331,-7.9032,-28.479,26393,20136,20178
-3.5834e-05,0.88381,-0.3435,-0.39673,17.601,-7.7714,-30.566,26398,20137,20188
-2.3047e-05,0.89697,-0.34766,-0.39262,19.626,-7.2607,-32.187,26389,20140,20192
-2.5556e-05,0.8943,-0.3381,-0.39481,22.895,-7.1324,-34.76,26396,20144,20187
-4.7877e-05,0.88893,-0.32485,-0.39052,25.043,-9.0433,-37.201,26402,20145,20187
-4.3613e-05,0.89975,-0.31129,-0.38503,27.493,-10.98,-40.087,26398,20149,20189
-2.523e-05,0.90228,-0.29355,-0.372,30.44,-13.452,-43.546,26399,20152,20190
-3.1051e-05,0.9161,-0.27651,-0.36654,32.684,-15.528,-46.801,26396,20155,20184
-2.2285e-05,0.92138,-0.26049,-0.36656,35.185,-16.267,-50.209,26398,20158,20178
-1.7884e-05,0.93574,-0.24414,-0.36648,37.175,-17.067,-53.864,26391,20162,20199
-3.9297e-05,0.9582,-0.26321,-0.36796,40.393,-17.52,-56.945,26392,20167,20203
-8.7877e-06,0.9629,-0.27707,-0.37193,42.62,-16.893,-58.733,26391,20172,20203
7.0452e-05,0.95556,-0.28216,-0.37517,44.545,-16.988,-59.98,26394,20177,20195
6.1091e-05,0.96869,-0.28291,-0.37145,45.462,-17.114,-61.162,26392,20184,20205
7.4549e-06,0.96762,-0.27928,-0.36956,45.331,-15.97,-61.632,26396,20191,20209
-9.8669e-06,0.96294,-0.27364,-0.36448,45.143,-14.397,-61.291,26401,20196,20209
-2.749e-05,0.95854,-0.26951,-0.37168,44.056,-11.859,-61.343,26399,20198,20218
-1.025e-05,0.95014,-0.25606,-0.37772,42.113,-9.7413,-61.159,26394,20202,20231
2.121e-05,0.94582,-0.25424,-0.38709,40.891,-7.9695,-61.12,26405,20207,20225
-1.6642e-05,0.94714,-0.25712,-0.39372,39.441,-5.3494,-60.119,26403,20209,20232
-7.8366e-06,0.94165,-0.27868,-0.3953,38.251,-2.2052,-58.182,26406,20212,20229
-1.5035e-05,0.92489,-0.28246,-0.40078,37.169,0.066526,-56.421,26414,20214,20227
-1.2115e-06,0.91376,-0.28578,-0.40523,36.004,1.2364,-54.642,26420,20218,20248
0.0004722,0.89767,-0.28244,-0.41159,34.862,2.6652,-52.264,26417,20219,20232
0.00085194,0.88461,-0.27317,-0.4143,33.742,3.3654,-50.413,26420,20222,20256
0.00026646,0.87933,-0.26659,-0.42098,32.787,3.6464,-48.889,26420,20227,20251
-0.00030219,0.86621,-0.26369,-0.42432,31.769,3.7192,-47.258,26433,20232,20255
-0.00027068,0.86702,-0.25372,-0.43005,31.426,4.0497,-46.173,26434,20235,20255
-0.00011027,0.86168,-0.2483,-0.43985,31.554,4.5081,-44.709,26433,20238,20248
-9.6373e-05,0.85207,-0.24635,-0.45331,31.599,4.466,-43.39,26434,20246,20254
-7.9966e-05,0.8404,-0.2435,-0.45425,31.786,2.8459,-41.113,26436,20253,20272
-7.1028e-05,0.84006,-0.23724,-0.45328,32.346,1.4445,-39.619,26434,20259,20275
-8.063e-05,0.83933,-0.2331,-0.45716,32.229,0.37636,-38.088,26436,20264,20281
-5.7505e-05,0.83745,-0.22273,-0.45751,32.209,-0.30821,-35.686,26430,20270,20288
-1.8912e-05,0.83283,-0.21996,-0.46174,31.937,-0.6024,-33.628,26433,20279,20297
-4.1771e-05,0.82034,-0.21373,-0.46676,31.611,-1.585,-31.787,26439,20285,20304
-4.1156e-05,0.82271,-0.2093,-0.4695,31.047,-3.3642,-28.844,26439,20292,20314
-2.462e-05,0.81953,-0.20767,-0.47322,29.672,-4.3728,-25.944,26439,20303,20327
-1.0967e-05,0.81268,-0.20817,-0.47291,28.351,-5.0177,-23.182,26439,20308,20333
1.7005e-05,0.81579,-0.21101,-0.4679,26.69,-5.4059,-19.08,26442,20310,20335
1.3859e-05,0.81052,-0.20874,-0.46824,25.057,-4.932,-15.262,26436,20309,20349
6.4739e-06,0.80783,-0.20841,-0.46727,23.043,-4.4133,-11.247,26433,20305,20341
3.5929e-05,0.80118,-0.20045,-0.46827,20.473,-3.9416,-6.7238,26429,20294,20327
7.388e-05,0.7861,-0.19475,-0.45853,17.953,-3.1092,-0.62191,26426,20277,20295
6.2507e-05,0.79321,-0.19205,-0.46154,15.049,-3.0302,4.1841,26412,20253,20283
