0,0,0,0,0,0,0,22039,8592.2,6235.6
-1.0117e-125,-1.5609e-19,6.7703e-19,-1.5114e-19,-1.068e-17,9.8137e-19,2.5018e-19,22040,8591.2,6236.7
2.4336e-114,-2.5304e-17,1.0975e-16,-2.4501e-17,-1.7312e-15,1.5909e-16,4.0557e-17,22039,8589.2,6235.4
3.7418e-101,-1.2326e-15,5.3464e-15,-1.1935e-15,-8.4335e-14,7.7498e-15,1.9757e-15,22039,8588,6230.1
-1.779e-89,2.443e-13,-1.0596e-12,2.3656e-13,1.6715e-11,-1.536e-12,-3.9157e-13,22040,8587,6230.1
-1.3634e-76,5.8533e-11,-2.5388e-10,5.6676e-11,4.0047e-09,-3.68e-10,-9.3815e-11,22040,8588.1,6230.8
9.7278e-65,5.203e-09,-2.2567e-08,5.0379e-09,3.5598e-07,-3.2712e-08,-8.3393e-09,22039,8588.1,6227.7
4.8884e-52,-2.408e-07,1.0445e-06,-2.3317e-07,-1.6475e-05,1.514e-06,3.8596e-07,22040,8587.5,6228.6
-4.7145e-40,-0.00012052,0.00052275,-0.0001167,-0.008246,0.00075774,0.00019317,22041,8586.2,6229.9
-1.7214e-27,-0.015568,0.067522,-0.015074,-1.0651,0.097875,0.024952,22040,8586.6,6228.8
2.1353e-15,0.21858,-0.94476,0.20733,14.902,-1.6553,-0.4164,22042,8587.1,6229.3
-3.1266e-05,0.22495,-0.93811,0.20641,14.604,-1.6441,-0.27869,22042,8589.9,6231.1
-3.1904e-05,0.21839,-0.94135,0.2103,14.837,-1.6715,-0.026028,22042,8594.1,6232.7
-7.1486e-06,0.22329,-0.94347,0.20728,14.411,-1.9472,0.25231,22043,8597,6238.3
1.6459e-05,0.21869,-0.93885,0.20857,14.089,-1.6176,0.31041,22044,8597.7,6240.3
2.4473e-05,0.22678,-0.93537,0.20922,13.965,-1.4278,0.54368,22044,8598.8,6240.7
4.3806e-05,0.22412,-0.93177,0.20691,13.545,-1.0891,0.45863,22045,8599.8,6241.4
5.756e-05,0.22469,-0.93845,0.20787,13.648,-0.67216,0.72671,22045,8601.9,6237
6.3375e-05,0.22295,-0.94278,0.20665,13.318,-0.76008,0.3802,22045,8603,6240
8.8131e-05,0.22316,-0.94824,0.20801,12.931,-0.78539,0.7516,22048,8604,6237.9
0.00011073,0.22622,-0.94538,0.21015,12.567,-0.90485,0.96127,22048,8603.1,6236.2
0.00011494,0.22437,-0.94519,0.20899,12.719,-0.80007,1.0552,22049,8603.6,6234.4
0.00010096,0.23058,-0.94059,0.21185,12.47,-0.66264,1.1794,22051,8602.4,6240.1
8.168e-05,0.23487,-0.94363,0.20771,12.423,-0.83761,1.3742,22053,8606.3,6233.3
4.071e-05,0.23008,-0.94192,0.20377,12.353,-0.60704,1.4625,22053,8608.5,6235.3
-1.4634e-05,0.23065,-0.94433,0.20797,12.676,-0.59109,1.5352,22054,8609.6,6235.2
-4.2622e-05,0.22917,-0.94923,0.20786,12.329,-0.6648,1.3167,22055,8610,6237.4
-3.425e-05,0.22996,-0.94579,0.20946,12.622,-0.73219,1.4027,22056,8610.5,6237.6
-4.1291e-05,0.22861,-0.94541,0.20867,12.561,-1.0211,1.2305,22056,8612.3,6241.2
-6.2899e-05,0.22675,-0.94602,0.21106,12.861,-1.363,0.98367,22058,8614.7,6240.2
-6.4038e-05,0.22515,-0.948,0.21278,12.839,-1.7797,0.78919,22059,8615.5,6242.4
-5.5717e-05,0.2268,-0.94939,0.21409,12.67,-2.1034,0.69835,22059,8620.8,6233.6
-6.0582e-05,0.23188,-0.94592,0.2119,13.114,-2.7327,0.74092,22058,8619,6234.9
